session_id,state,timestamp
s1001,/home,2026-04-04T09:00:00Z
s1001,/search,2026-04-04T09:00:04Z
s1001,/product,2026-04-04T09:00:08Z
s1001,/reviews,2026-04-04T09:00:14Z
s1001,/product,2026-04-04T09:00:20Z
s1001,/cart,2026-04-04T09:00:26Z
s1001,/checkout,2026-04-04T09:00:33Z
s1001,/confirmation,2026-04-04T09:00:40Z

s1002,/home,2026-04-04T09:02:00Z
s1002,/search,2026-04-04T09:02:03Z
s1002,/product,2026-04-04T09:02:07Z
s1002,/cart,2026-04-04T09:02:12Z
s1002,/checkout,2026-04-04T09:02:18Z
s1002,/cart,2026-04-04T09:02:25Z
s1002,/checkout,2026-04-04T09:02:32Z
s1002,/confirmation,2026-04-04T09:02:39Z

s1003,/home,2026-04-04T09:04:00Z
s1003,/category,2026-04-04T09:04:05Z
s1003,/product,2026-04-04T09:04:11Z
s1003,/reviews,2026-04-04T09:04:16Z
s1003,/product,2026-04-04T09:04:22Z
s1003,/home,2026-04-04T09:04:29Z

s1004,/landing,2026-04-04T09:06:00Z
s1004,/signup,2026-04-04T09:06:06Z
s1004,/onboarding,2026-04-04T09:06:13Z
s1004,/dashboard,2026-04-04T09:06:21Z
s1004,/settings,2026-04-04T09:06:30Z
s1004,/dashboard,2026-04-04T09:06:38Z

s1005,/home,2026-04-04T09:08:00Z
s1005,/search,2026-04-04T09:08:04Z
s1005,/search,2026-04-04T09:08:08Z
s1005,/category,2026-04-04T09:08:13Z
s1005,/product,2026-04-04T09:08:18Z
s1005,/cart,2026-04-04T09:08:25Z
s1005,/checkout,2026-04-04T09:08:31Z

s1006,/home,2026-04-04T09:10:00Z
s1006,/product,2026-04-04T09:10:06Z
s1006,/reviews,2026-04-04T09:10:12Z
s1006,/product,2026-04-04T09:10:18Z
s1006,/cart,2026-04-04T09:10:24Z
s1006,/checkout,2026-04-04T09:10:30Z
s1006,/confirmation,2026-04-04T09:10:37Z
s1006,/order-history,2026-04-04T09:10:45Z

s1007,/landing,2026-04-04T09:12:00Z
s1007,/pricing,2026-04-04T09:12:07Z
