session_id,state,timestamp
s1,/home,2026-04-04T10:00:00Z
s1,/search,2026-04-04T10:00:02Z
s1,/product,2026-04-04T10:00:05Z
s1,/cart,2026-04-04T10:00:08Z
s1,/checkout,2026-04-04T10:00:12Z

s2,/home,2026-04-04T10:05:00Z
s2,/search,2026-04-04T10:05:03Z
s2,/product,2026-04-04T10:05:06Z
s2,/home,2026-04-04T10:05:10Z

s3,/home,2026-04-04T10:10:00Z
s3,/search,2026-04-04T10:10:02Z
s3,/product,2026-04-04T10:10:05Z
s3,/reviews,2026-04-04T10:10:08Z
s3,/product,2026-04-04T10:10:12Z
s3,/cart,2026-04-04T10:10:15Z

s4,/home,2026-04-04T10:15:00Z
s4,/search,2026-04-04T10:15:02Z
s4,/search,2026-04-04T10:15:05Z
s4,/product,2026-04-04T10:15:08Z
s4,/cart,2026-04-04T10:15:12Z

s5,/home,2026-04-04T10:20:00Z
s5,/product,2026-04-04T10:20:04Z
s5,/reviews,2026-04-04T10:20:08Z
s5,/product,2026-04-04T10:20:12Z
s5,/cart,2026-04-04T10:20:16Z
s5,/checkout,2026-04-04T10:20:20Z
